id,image_path,text,headline,date,label (true = 1 / false = 0)
ID0001,C:\Users\A S U S\Downloads\Health Images\Images\1.png,"A doctor of the Senarathpura Rural Hospital in Gonagolla, Ampara was arrested by the police for sexually abusing four schoolgirls day before yesterday (07.01.2020). ",Image of doctor who exposed sexual abuse by another doctor shared as the offender. ,1/9/2020,0
ID0002,C:\Users\A S U S\Downloads\Health Images\Images\2.png,"Excessive amount fertilizers used in agriculture has been a matter of concern and topic of debate in Sri Lanka since past couple of tears. We noticed that on social media, these discussions have sprung once again. The reason for this is that many posts claiming Sri Lanka has been ranked no. 1 in the world in consumption of poisonous food. ",Did world Health Organization ranked Sri Lanka at the top recently for excessive fertilizer usage in South Asian Region…?,2/17/2020,0
ID0003,C:\Users\A S U S\Downloads\Health Images\Images\3.png,"The WHO has declared the Novel Coronavirus outbreak a global health emergency. In Sri Lanka, there have been incidents in which the locals cornered Chinese nationals in the country on suspicion of Corona Virus infection. In this scenario, a girl recently returned from China visited a local hospital. This sent ripples across the country throwing open a wide range of speculations of the girl being infected with the novel corona virus. 
A Sri Lankan girl, who returned 2 weeks ago from China, made a visit to Badulla hospital complaining throat pain on 5 February 2020. Social media was abuzz with this news along with photos and videos of Badulla hospital staff taking precautionary action to examine the girl in isolation.","Suspected CoronaVirus infected girl from Badulla, discharged after tested negative for the virus…",2/8/2020,1
ID0004,C:\Users\A S U S\Downloads\Health Images\Images\4.png,Government Medical Officers’ Association (GMOA) held a press conference few days ago on combating the global outbreak of 2019-nCoV virus. They gave a few suggestions and made a few requests to the government authorities appealing the authorities to take care of the medical staff holding vigil against the virus. GMOA appealed to the authorities to ensure the medical staff working especially in Infectious Diseases Hospitals (IDH). It garnered many responses from the public. A number of responses from the public have poured in appreciating the efforts of the medical staff but there were some negative responses as well. Some people labelled the medical staff as opportunists who are trying to get an incentive even during the critical epidemic situation. ,IDH Hospital staff on sick leave? Here’s the truth. ,2/1/2020,1
ID0005,C:\Users\A S U S\Downloads\Health Images\Images\5.png,"Italy is so far the worst affected country from COVID19 with more than 10,000 deaths. Over the past couple of weeks Italy has continuously recorded the highest number of deaths reported in a single day. As officials are finding it extremely difficult to control COVID19 pandemic, social media has been flooded with numerous posts about this unfortunate situation in Italy. We already carried out a number of fact check such as this, where images that are old and unrelated to Italy  shared in a misleading manner. ","No! these aren’t visuals of mess graves in Italy but, a scene from a science fiction movie.",3/31/2020,0
ID0006,C:\Users\A S U S\Downloads\Health Images\Images\6.png,"As the COVID-19 sweeps through every part of the world, there are numerous claims about ‘so-called’ remedies, cures and treatments for the virus. Fact Crescendo has debunked several such false claims in the past few weeks. We debunk yet another such claim spreading rapidly on social media.
A post with an image of bakery items and WHO’s logo has started circulating widely on social media platforms and messaging platforms in Sri Lanka with the following caption: “Stop eating bakery items. It is strictly advised to not to eat bakery items as it is not washable and can get infected to the virus easily”. The post gives an impression that WHO has advised against the consumption of bakery products. ","No, WHO did not advise public to stop eating bakery items!",3/29/2020,0
ID0007,C:\Users\A S U S\Downloads\Health Images\Images\7.png,"During March 2020, at a time when lockdown measures were being strictly imposed in Sri Lanka due to COVID-19, certain communities had not realized the real meaning of social distancing, with many arranging small functions often associated with alcoholic beverages, with friends and family circles. ",Consuming alcohol cannot protect you from COVID-19!,3/21/2020,0
ID0008,C:\Users\A S U S\Downloads\Health Images\Images\8.png,"Coronavirus infection spreads intensively and has had a serious impact on Italy, which is known in Europe as a country with many elderly citizens. By March 20, more than 40,000 people in Italy had contracted the novel coronavirus, and over 3400 had died from pandemic according surpassing the deadly figures from China as well. ",7-Year-Old Image of ship Wreck in Italy Falsely shared as Corona Virus Victims,3/20/2020,0
ID0009,C:\Users\A S U S\Downloads\Health Images\Images\9.png,"With the amount of misinformation related to COVID-19 on the rise governments around the world and health officials have been continuously highlighting the importance of following verified sources for latest updates. Since World Health Organization is the authorized body to comment officially on the status of the COVID-19, public have been closely following the guidelines and status alerts published by WHO. ",WHO did not snub Sri Lanka Citing Inadequate Measures in Response to COVID-19 Pandemic,3/19/2020,0
ID0010,C:\Users\A S U S\Downloads\Health Images\Images\10.png,"With World Health Organization declaring COVID19 a pandemic situation with worldwide spread of the disease, social media platforms have been flooded with dubious claims that prevents or cures the coronavirus infection. Our fact checks revealed almost all claims are not scientifically proven, while some of these remedies might have symptomatic improvement for COVID19. ",Misleading claims about traditional cures and self-checks for Coronavirus,3/17/2020,0
ID0011,C:\Users\A S U S\Downloads\Health Images\Images\11.png,"The World Health Organization (WHO) has declared that no research organization has come with a vaccine or an antiviral drug that can cure novel coronavirus infection (as on March 16th). However, in South Asian countries where indigenous medical practices are established, people have resorted to sharing various social media posts that claims to prevent or cure the infection. ","Hot weather , Garlic and Hot Water are not remedies against COVID19",3/16/2020,0
ID0012,C:\Users\A S U S\Downloads\Health Images\Images\12.png,"As the epicentreof the COVID-19 outbreak moved from China to Europe in the past few weeks and the number of patients testing positive for the virus increased around the world. This prompted the World Health Organization (WHO) to declare the situation a pandemic, urging the public not to fall prey for false statements in a time of worldwide panic, and in turn to refrain from sharing unverified information. 
With 146 countries (almost 75% of all countries), including superpowers of the world affected by this deadly virus, number of social media posts claiming discovery of cure for COVID-19 have surfaced. While medical and research team around the world have been researching for possible cures with clinical trials, WHO has reiterated that a definitive vaccines or cure for the virus is not yet found. Amid all these developments, we came across a number of posts since beginning of March with claims that number of countries such as Italy, Cuba, Israel, USA etc. had developed a cure successfully for COVID-19 ",Misleading claims of cures for COVID-19 from multiple countries,3/16/2020,0
ID0013,C:\Users\A S U S\Downloads\Health Images\Images\13.png,"As China gradually shows signs of recovery from the deadly COVID19 epidemic, patients testing positive for the deadly virus has escalated in other parts of the world, prompting the World Health Organization to declare the situation a “pandemic.” Governments around the world have requested public to not to fall for misinformation and follow only verified news sources pertaining to latest developments.
As the attention shifts from Wuhan and China to Europe, the new epicenter of COVID19, a number of people have asked the rest of the world to learn from China how they managed to deal with COVID19. Since, latest reports showed increase in the number of confirmed cases from countries like Italy, Spain, France, Iran etc. In the middle of all these developments, widespread rumors on social media suggesting China has totally eradicated the threat have surfaced, despite WHO still considering China in the high-risk category. ",Did the last COVID19 Infected Patient in Wuhan get Discharged..? Here’s The Truth!,3/14/2020,0
ID0014,C:\Users\A S U S\Downloads\Health Images\Images\14.png," It has been 6 weeks since the lockdown of Wuhan, the epicenter of the Coronavirus (COVID-19), and as per the latest published information, number of reported cases were over 90,000 with almost 3200 deaths. While the rate of infection has normalized in China to a certain extent, the latest trends indicate worldwide threat of spread of COVID-19 with cases reported from 77 countries. The pressure on WHO to declare the situation as a pandemic is increasing.  
We have debunked a number of stories ever since the wave of misinformation regarding possible cures for Corona virus, proper use of facial masks and preventive care best practices started. With concerns over shortage of personal protective equipment (PPE) across the world, many organizations have offered aid and United Nations had released US$15 million to help vulnerable countries battle the spread of the coronavirus.
In this backdrop, we noticed a number of messages circulating on WhatsApp and posts on Facebook with an extended narrative of these messages claiming to be a bulletin from UNICEF on information about COVID-19 and how the virus transmits and possible preventive measures.
Below are the screenshots of two such posts shared by Indian users with the following bulletin
“Unicef
The corona virus is large in size with a cell diameter of 400-500 micro, so any mask prevents its entry & there is no need to exploit pharmacists to trade with muzzles.
The virus does not settle in the air, but on the ground, so it is not transmitted by the air.
The corona virus, when it falls on a metal surface, will live for 12 hours, so washing hands with soap and water well will do the trick.
Corona virus when it falls on fabrics stays for 9 hours so washing clothes or exposing them to the sun for two hours is enough for the purpose of killing him.
The virus lives on the hands for 10 minutes so putting the alcohol sanitizer in the pocket is enough for the purpose of prevention.
If the virus is exposed to a temperature of 26-27°C, it will be killed, it does not live in hot areas. Also drinking hot water and exposure to the sun is good enough.
Stay away from ice cream and cold food is important.
Gargling with warm water and salt kills tonsils and prevents them from leaking into the lungs.
Adhering to these instructions is sufficient to prevent the virus.
UNICEF” ",Truth behind the Viral UNICEF message about Coronavirus!,3/5/2020,0
